player_id;player;negotiations;battles;total
3867997;LordChriss;12;9693;9717
851735;Kiee;0;8383;8383
849577727;Kris5407;30;6961;7021
849705427;Wlodzimierz2011;37;6926;7000
849127561;as200;153;6256;6562
3924777;zetzet;10;6398;6418
849374241;encypency;123;6043;6289
1883873;kolekcjoner03;220;5058;5498
4041098;lenarsun;23;3989;4035
4069953;ANDRZEJ1977;125;3712;3962
3217255;Irma;90;3346;3526
3680180;Flamber;0;3341;3341
3160300;Alexx;7;3119;3133
4029865;kumitus;155;2800;3110
1279580;Arkadiusz635;32;3008;3072
3004064;Arii Arii;42;2640;2724
849155848;evenezer;2;2643;2647
3842759;SilverCrash;61;2354;2476
2284690;Trubibabur;4;2413;2421
849309544;Okeyka;15;2389;2419
849350675;SiD.;106;2108;2320
849064121;HenApo;80;2144;2304
4169471;Eurydike 252 Szlachetna;20;2197;2237
1672494;..IRCIA..;5;1785;1795
4167211;Szipu;17;1654;1688
3912053;Malg5;0;1561;1561
3269633;swirunh1;0;1398;1398
1277454;Zuzia.;8;1270;1286
3690072;Ami*;13;1144;1170
849506096;zosia3456;0;1169;1169
4173068;hiszpan11;4;1101;1109
1927134;Belinus 29 Gnębiciel;11;1032;1054
3310730;Belinus 88 Straszliwy;12;957;981
849025082;antares0pl;18;862;898
2888109;piotr74c;0;838;838
3903143;AZIRA;61;715;837
2224850;RogerW;79;665;823
849132471;koko koko;42;732;816
340920;arbuz27;9;753;771
4120274;Belladonna*;10;715;735
802254;CineqW;0;725;725
3347761;Araxu;0;711;711
3858502;WiktoreQ221;0;692;692
3561318;Imbleuuuu;0;666;666
1425318;TRIB;0;633;633
799478;Dylu-Raf;0;606;606
4150359;BenKiller;0;603;603
2630854;andy96;0;532;532
3320455;FrancuS1;0;527;527
626201;Gustlik 102;4;500;508
1183462;Brainpan;0;473;473
773723;Pituś Malutki;60;350;470
2253263;Gawlorek;2;453;457
849222671;-Tekla-;84;287;455
849425451;Mormider;15;385;415
146582;prion;0;409;409
674220;stempi;3;399;405
849033185;Patton 1985;6;382;394
849624824;Kendra Volcano;7;377;391
2854299;Dodyś;0;375;375
2803523;Ury123;0;371;371
849070129;Dawidf831;12;285;309
4157108;Mikołaj 138 Piękny;20;261;301
1040068;Doda21;0;300;300
849039871;-SilverHead-;0;291;291
848885148;Marcin XX Wielki;0;236;236
733438;nasze;5;115;125
4207477;NiepokonanyBlake;0;120;120
2580060;Hit83;0;0;0
