player_id;player;negotiations;battles;total
3867997;LordChriss;12;7535;7559
849577727;Kris5407;20;5922;5962
851735;Kiee;0;5160;5160
849705427;Wlodzimierz2011;5;4897;4907
849127561;as200;116;4516;4748
849374241;encypency;103;4513;4719
3924777;zetzet;10;4508;4528
1883873;kolekcjoner03;87;3331;3505
4069953;ANDRZEJ1977;95;2700;2890
4041098;lenarsun;22;2645;2689
1279580;Arkadiusz635;32;2577;2641
3217255;Irma;62;2350;2474
3842759;SilverCrash;61;2346;2468
3680180;Flamber;0;2272;2272
849309544;Okeyka;15;2149;2179
3004064;Arii Arii;42;2076;2160
4029865;kumitus;125;1900;2150
849064121;HenApo;73;1826;1972
849155848;evenezer;2;1787;1791
849350675;SiD.;71;1387;1529
3160300;Alexx;6;1479;1491
2284690;Trubibabur;4;1433;1441
4169471;Eurydike 252 Szlachetna;20;1332;1372
4167211;Szipu;11;1350;1372
1672494;..IRCIA..;5;1280;1290
1277454;Zuzia.;8;1270;1286
3269633;swirunh1;0;1193;1193
3912053;Malg5;0;1188;1188
3690072;Ami*;5;1022;1032
4173068;hiszpan11;4;944;952
849506096;zosia3456;0;809;809
1927134;Belinus 29 Gnębiciel;11;734;756
3903143;AZIRA;60;590;710
4120274;Belladonna*;10;674;694
3561318;Imbleuuuu;0;646;646
3310730;Belinus 88 Straszliwy;12;619;643
1425318;TRIB;0;630;630
2224850;RogerW;50;513;613
2888109;piotr74c;0;575;575
3858502;WiktoreQ221;0;540;540
2630854;andy96;0;532;532
626201;Gustlik 102;4;500;508
340920;arbuz27;9;488;506
3320455;FrancuS1;0;501;501
3347761;Araxu;0;498;498
849025082;antares0pl;12;445;469
849132471;koko koko;15;403;433
849222671;-Tekla-;69;236;374
2803523;Ury123;0;366;366
1183462;Brainpan;0;332;332
849033185;Patton 1985;0;321;321
674220;stempi;3;297;303
1040068;Doda21;0;300;300
849070129;Dawidf831;12;271;295
773723;Pituś Malutki;47;198;292
802254;CineqW;0;290;290
849425451;Mormider;9;259;277
799478;Dylu-Raf;0;261;261
2854299;Dodyś;0;260;260
4157108;Mikołaj 138 Piękny;16;221;253
146582;prion;0;242;242
2253263;Gawlorek;0;169;169
4207477;NiepokonanyBlake;0;120;120
848885148;Marcin XX Wielki;0;114;114
4150359;BenKiller;0;108;108
849624824;Kendra Volcano;0;74;74
2580060;Hit83;0;0;0
733438;nasze;0;0;0
849039871;-SilverHead-;0;0;0
